Task ID,Task Name,Task Object Name,Task Type,Task Run ID,Project Name,Folder Name,Org ID,Environment ID,Environment,Cores Used,Start Time,End Time,Status,Metered Value,Audit Time,OBM Task Time(s)
01CR7S0Z00000000004W,m_TB_PNE_ClienteExterno_2_R_TB_ClienteExterno_Cli001,,MTT_TEST,8,CLIENTE_REPLICA,PNE,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.10997800439912017,2025-08-01 13:19:31.0,2025-08-01 13:19:47.0,SUCCESS,0.004444,2025-08-01 13:19:47.0,0
01CR7S0Z00000000004W,m_TB_PNE_ClienteExterno_2_R_TB_ClienteExterno_Cli001,,MTT_TEST,9,CLIENTE_REPLICA,PNE,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.09598080383923216,2025-08-01 13:23:09.0,2025-08-01 13:23:26.0,SUCCESS,0.004722,2025-08-01 13:23:26.0,0
01CR7S17000000000054,m_FF_SALESFORCE_ENRIQUECIMENTO_2_TB_Account_Cli003,,MTT_DP,6,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-05 12:18:23.0,2025-08-05 12:18:36.0,SUCCESS,0.003611,2025-08-05 12:18:35.0,0
01CR7S0Z00000000004S,m_FF_SALESFORCE_ENRIQUECIMENTO_2_TB_Account_Cli003,,MTT_TEST,87,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.464,2025-08-05 12:22:45.0,2025-08-05 12:24:04.0,WARNING,0.021944,2025-08-05 12:24:04.0,0
01CR7S0Z000000000049,m_FF_SIOP_ADM_ENRIQUECIMENTO_2_TB_Empresas_Cli003,,MTT_TEST,59,CLIENTE_AUDITORIA-PREPARADA,SIOP ADM - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.01999600079984003,2025-08-05 16:40:05.0,2025-08-05 16:40:34.0,SUCCESS,0.008056,2025-08-05 16:40:34.0,0
01CR7S0Z00000000003T,m_FF_PNE_ENRIQUECIMENTO_2_TB_ClienteExterno_Cli003,,MTT_TEST,179,CLIENTE_AUDITORIA-PREPARADA,PNE - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.036,2025-08-05 16:39:05.0,2025-08-05 16:41:15.0,SUCCESS,0.036111,2025-08-05 16:41:14.0,0
01CR7S0Z000000000046,m_FF_SIOP_PORTOS_ENRIQUECIMENTO_2_TB_Pessoa_Cli003,,MTT_TEST,34,CLIENTE_AUDITORIA-PREPARADA,SIOP PORTOS - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-05 16:41:07.0,2025-08-05 16:41:29.0,SUCCESS,0.006111,2025-08-05 16:41:28.0,0
01CR7S0Z00000000004S,m_FF_SALESFORCE_ENRIQUECIMENTO_2_TB_Account_Cli003,,MTT_TEST,88,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.46390721855628875,2025-08-05 16:46:18.0,2025-08-05 16:47:16.0,WARNING,0.016111,2025-08-05 16:47:15.0,0
01CR7S0Z000000000049,m_FF_SIOP_ADM_ENRIQUECIMENTO_2_TB_Empresas_Cli003,,MTT_TEST,60,CLIENTE_AUDITORIA-PREPARADA,SIOP ADM - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.022,2025-08-05 16:47:51.0,2025-08-05 16:48:16.0,SUCCESS,0.006944,2025-08-05 16:48:16.0,0
01CR7S0Z000000000046,m_FF_SIOP_PORTOS_ENRIQUECIMENTO_2_TB_Pessoa_Cli003,,MTT_TEST,35,CLIENTE_AUDITORIA-PREPARADA,SIOP PORTOS - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.013997200559888023,2025-08-05 16:48:26.0,2025-08-05 16:48:53.0,SUCCESS,0.0075,2025-08-05 16:48:52.0,0
01CR7S0Z00000000003T,m_FF_PNE_ENRIQUECIMENTO_2_TB_ClienteExterno_Cli003,,MTT_TEST,180,CLIENTE_AUDITORIA-PREPARADA,PNE - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.041991601679664065,2025-08-05 16:47:11.0,2025-08-05 16:49:17.0,SUCCESS,0.035,2025-08-05 16:49:17.0,0
01CR7S0Z000000000071,m_FF_GRANULAR_ENRIQUECIMENTO_2_TB_PREPARACAO_CLIENTEGRANULAR,,MTT_TEST,40,CLIENTE_ENTRADA_DESACOPLADA,,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-07 13:51:18.0,2025-08-07 13:51:31.0,SUCCESS,0.003611,2025-08-07 13:51:31.0,0
01CR7S0Z000000000058,m_TB_SALESFORCE_ACCOUNT_2_TB_CLIENTESEGMENTACAO_Cli002,,MTT_TEST,10,CLIENTE_QUALIDADE-STAGING,Salesforce - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-07 15:56:38.0,2025-08-07 15:56:48.0,SUCCESS,0.002778,2025-08-07 15:56:48.0,0
01CR7S0Z000000000057,m_TB_SALESFORCE_ACCOUNT_2_TB_CLIENTEGESTAO_Cli002,,MTT_TEST,27,CLIENTE_QUALIDADE-STAGING,Salesforce - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-07 15:57:23.0,2025-08-07 15:57:34.0,WARNING,0.003056,2025-08-07 15:57:33.0,0
01CR7S0Z000000000071,m_FF_GRANULAR_ENRIQUECIMENTO_2_TB_PREPARACAO_CLIENTEGRANULAR,,MTT_TEST,41,CLIENTE_ENTRADA_DESACOPLADA,,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-07 18:06:05.0,2025-08-07 18:06:20.0,SUCCESS,0.004167,2025-08-07 18:06:19.0,0
01CR7S0Z000000000071,m_FF_GRANULAR_ENRIQUECIMENTO_2_TB_PREPARACAO_CLIENTEGRANULAR,,MTT_TEST,42,CLIENTE_ENTRADA_DESACOPLADA,,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-07 18:40:55.0,2025-08-07 18:41:09.0,SUCCESS,0.003889,2025-08-07 18:41:09.0,0
01CR7S0Z000000000071,m_FF_GRANULAR_ENRIQUECIMENTO_2_TB_PREPARACAO_CLIENTEGRANULAR,,MTT_TEST,43,CLIENTE_ENTRADA_DESACOPLADA,,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-07 19:58:20.0,2025-08-07 19:58:34.0,SUCCESS,0.003889,2025-08-07 19:58:34.0,0
01CR7S0Z000000000071,m_FF_GRANULAR_ENRIQUECIMENTO_2_TB_PREPARACAO_CLIENTEGRANULAR,,MTT_TEST,44,CLIENTE_ENTRADA_DESACOPLADA,,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-07 20:12:24.0,2025-08-07 20:12:39.0,SUCCESS,0.004167,2025-08-07 20:12:38.0,0
01CR7S0Z00000000005L,m_TB_CLIENTE_GRANULAR_2_FF_FULL_GRANULAR_Cli006,,MTT_TEST,3,CLIENTE_FULL_FILES_API,Cliente_Granular_Full,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-12 20:13:18.0,2025-08-12 20:13:29.0,SUCCESS,0.003056,2025-08-12 20:13:29.0,0
01CR7S0Z000000000059,m_TB_PREPARADA_ACCOUNT_2_TB_CLIENTEGRANULAR_Cli003,,MTT_TEST,12,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-13 12:20:54.0,2025-08-13 12:21:04.0,SUCCESS,0.002778,2025-08-13 12:21:04.0,0
01CR7S0Z000000000059,m_TB_PREPARADA_ACCOUNT_2_TB_CLIENTEGRANULAR_Cli003,,MTT_TEST,13,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-13 12:26:19.0,2025-08-13 12:26:28.0,SUCCESS,0.0025,2025-08-13 12:26:28.0,0
01CR7S0Z000000000059,m_TB_PREPARADA_ACCOUNT_2_TB_CLIENTEGRANULAR_Cli003,,MTT_TEST,14,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-13 12:29:53.0,2025-08-13 12:30:03.0,SUCCESS,0.002778,2025-08-13 12:30:03.0,0
01CR7S0Z000000000059,m_TB_PREPARADA_ACCOUNT_2_TB_CLIENTEGRANULAR_Cli003,,MTT_TEST,15,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.0,2025-08-13 12:30:38.0,2025-08-13 12:30:46.0,SUCCESS,0.002222,2025-08-13 12:30:46.0,0
01CR7S0Z00000000004S,m_FF_SALESFORCE_ENRIQUECIMENTO_2_TB_Account_Cli003,,MTT_TEST,89,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.2599480103979204,2025-08-13 13:37:15.0,2025-08-13 13:38:44.0,WARNING,0.024722,2025-08-13 13:38:44.0,0
01CR7S0Z00000000004S,m_FF_SALESFORCE_ENRIQUECIMENTO_2_TB_Account_Cli003,,MTT_TEST,90,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.2,2025-08-13 13:45:36.0,2025-08-13 13:48:51.0,WARNING,0.054167,2025-08-13 13:48:50.0,0
01CR7S0Z00000000004S,m_FF_SALESFORCE_ENRIQUECIMENTO_2_TB_Account_Cli003,,MTT_TEST,91,CLIENTE_AUDITORIA-PREPARADA,SALESFORCE - Cliente,64OAExn3HrTdhSZfzbroa1,1TChVzo2OsJb5DVi8oM4eB,VLI_Logistica_DEV,0.28594281143771244,2025-08-13 13:53:40.0,2025-08-13 13:55:20.0,WARNING,0.027778,2025-08-13 13:55:19.0,0
